report_id,report_text,sif_potential,activity,hazard,barrier_failure,life_saving_rule
1639,A supervisor observed that no significant hazard was identified during while setting up the work area.,LOW,Worksite Control,None identified,No barrier failure / control effective,
1640,An observation from the safety patrol noted that a technician worked below the platform while material was being handled above during material handling. This was linked to inadequate tool control.,HIGH,Material Handling,Falling object,Tool control inadequate,
1641,a technician flagged that the residual charge was not discharged during circuit repair. This was linked to the energy isolation control was degraded.,MEDIUM,Electrical Maintenance,Electric shock or arc flash,Energy isolation control degraded,Energy Isolation
1642,a chemical handler checked that the containment was intact before the transfer during chemical handling.,LOW,Chemical Handling,Chemical exposure,No barrier failure / control effective,Toxic Gas
1643,an authorized worker observed the relief valve fail during the pressure test while verifying the authorization. Follow-up identified the energy isolation was not applied.,HIGH,Permit to Work,Pressure release,Energy isolation failed,Energy Isolation
1644,A near miss occurred when a craftsman found the tool handle cracked during the task during the repair. This was linked to degraded equipment condition.,MEDIUM,Hand Tools,Equipment failure,Equipment condition degraded,
1645,A permit review found that a worker checked that the tag line was rigged before lifting while the crane was positioning the load.,LOW,Lifting Operation,Dropped load,No barrier failure / control effective,Lifting Operations
1646,An inspection noted that a worker guided the suspended load by hand from within its path during the lifting operation.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
1647,an operator found that the isolation lock was not applied before the task during equipment maintenance. The event traced back to the energy isolation control was degraded.,MEDIUM,Equipment Maintenance,Electric shock or arc flash,Energy isolation control degraded,Energy Isolation
1648,a panel operator confirmed the chemical was stored in the correct container during process operation.,LOW,Process Operation,Chemical exposure,No barrier failure / control effective,Toxic Gas
1649,An observation from the safety patrol noted that a technician carried out hot work near the grinding point without an extinguisher close by while welding. The finding cited no fire watch was present.,HIGH,Hot Work,Fire or explosion,Fire watch absent,Hot Work
1650,"During the walk-down, a worker observed an obstruction blocking the aisle during routine housekeeping rounds.",MEDIUM,Housekeeping,Slip hazard,Housekeeping control inadequate,No clear Life-Saving Rule detected
1651,A permit review found that a worker checked that the extinguisher charge was valid before while welding.,LOW,Hot Work,Fire or explosion,No barrier failure / control effective,Hot Work
1652,The shift handover mentioned that a cleaner found water pooling on the walkway in the common work area. It was noted that inadequate housekeeping controls.,MEDIUM,Housekeeping,Slip hazard,Housekeeping control inadequate,
1653,The shift handover mentioned that a chemical technician observed the drum leaking while it was being moved during the vessel clean-out. The finding cited a PPE compliance issue.,HIGH,Chemical Maintenance,Chemical exposure,PPE compliance issue,Toxic Gas
1654,An observation from the safety patrol noted that a technician confirmed all tools were tethered before during material handling.,LOW,Material Handling,Falling object,No barrier failure / control effective,
1655,A near miss occurred when an electrician bypassed the interlock to keep the circuit running while working on the panel. The finding cited the energy isolation was not applied.,HIGH,Electrical Maintenance,Electric shock or arc flash,Energy isolation failed,Energy Isolation
1656,an entrant noticed that gas testing was performed with a non-calibrated detector during confined-space entry.,MEDIUM,Confined Space Entry,Hazardous atmosphere,Gas testing not completed,Confined Space
1657,a worker used a lift assist for the heavy load while lifting the heavy component.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1658,a worker observed sparks landing on flammable material during hot work. The event traced back to combustible materials were not controlled.,HIGH,Hot Work,Fire or explosion,Combustible control failed,Hot Work
1659,"During the walk-down, a safety officer was not wearing the respirator in the dusty area during the PPE inspection. Follow-up identified a PPE compliance issue.",MEDIUM,PPE,PPE deficiency,PPE compliance issue,No clear Life-Saving Rule detected
1660,an operator verified the edge protection was intact during during the scaffolding work.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
